CPI_Target_Plan;CDR_SSDV_S0_Plan;Weight_S2_Plan;RangeObj_Plan;CDR_DTR_Plan;Non-Critical_Error_Target_Plan;CDR_SSDV_S1_Plan;CDR_SDD_Plan;Weight_Plan;FRR_SST_Plan;CDR_SL_Plan;Drag_Coef_Plan;BurnRate_Planned_S1;BurnRate_Planned_S0;Critical_Error_Target_Plan;BurnRate_Planned_S3;BurnRate_Planned_S2;CDR_SSDV_S3_Plan;Budget_Planned_Total;Budget_Planned_S1;CostVar_Plan;Budget_Planned_S0;Budget_Planned_S3;Budget_Planned_S2;CDR_VVSIL_Plan;SchedVar_Plan;CDR_ED_Plan;SPI_Target_Plan;PropulsionEff_Plan;Weight_S1_Plan;BurnRate_Planned_Total;CDR_SSDV_S2_Plan;
1.0;0.0;2400.0;5200.0;0.0;0.0;0.0;0.0;9500.0;0.0;0.0;2.55;1.41;1.33;0.0;0.52;3.52;0.0;200.0;40.0;0.0;40.0;15.0;100.0;0.0;0.0;15.0;1.0;1240.0;7150.0;6.78;0.0;
1.0;0.0;2400.0;5200.0;0.0;0.0;0.0;0.0;9500.0;0.0;0.0;2.55;1.41;1.33;0.0;0.52;3.52;0.0;200.0;40.0;0.0;40.0;15.0;100.0;0.0;0.0;15.0;1.0;1240.0;7150.0;6.78;0.0;
1.0;0.139;2400.0948;5200.0;0.0;0.335;0.139;0.0;9500.3548;0.0;0.0;2.550135;1.41;1.33;0.0135;0.52;3.52;0.13;200.0;40.0;0.0;40.0;15.0;100.0;0.0;0.0;15.11;1.0;1240.0;7150.26;6.78;0.33;
1.0;0.278;2400.1895999999997;5200.0;0.0;0.67;0.278;0.0;9500.709599999998;0.0;0.0;2.5502700000000003;1.41;1.33;0.027;0.52;3.52;0.26;200.0;40.0;0.0;40.0;15.0;100.0;0.0;0.0;15.219999999999999;1.0;1240.0;7150.52;6.78;0.66;
1.0;0.41700000000000004;2400.2843999999996;5200.0;0.0;1.0050000000000001;0.41700000000000004;0.0;9501.064399999997;0.0;0.0;2.5504050000000005;1.41;1.33;0.0405;0.52;3.52;0.39;200.0;40.0;0.0;40.0;15.0;100.0;0.0;0.0;15.329999999999998;1.0;1240.0;7150.780000000001;6.78;0.99;
1.0;0.556;2400.3791999999994;5200.0;0.0;1.34;0.556;0.0;9501.419199999997;0.0;0.0;2.5505400000000007;1.41;1.33;0.054;0.52;3.52;0.52;200.0;40.0;0.0;40.0;15.0;100.0;0.0;0.0;15.439999999999998;1.0;1240.0;7151.040000000001;6.78;1.32;
1.0;0.6950000000000001;2400.4739999999993;5200.0;0.0;1.675;0.6950000000000001;0.0;9501.773999999996;0.0;0.0;2.550675000000001;1.41;1.33;0.0675;0.52;3.52;0.65;200.0;40.0;0.0;40.0;15.0;100.0;0.0;0.0;15.549999999999997;1.0;1240.0;7151.300000000001;6.78;1.6500000000000001;
1.0;0.8340000000000001;2400.568799999999;5200.0;0.0;2.0100000000000002;0.8340000000000001;0.0;9502.128799999995;0.0;0.0;2.550810000000001;1.41;1.33;0.081;0.52;3.52;0.78;200.0;40.0;0.0;40.0;15.0;100.0;0.0;0.0;15.659999999999997;1.0;1240.0;7151.560000000001;6.78;1.9800000000000002;
1.0;0.9730000000000001;2400.663599999999;5200.0;0.0;2.345;0.9730000000000001;0.0;9502.483599999994;0.0;0.0;2.5509450000000014;1.41;1.33;0.0945;0.52;3.52;0.91;200.0;40.0;0.0;40.0;15.0;100.0;0.0;0.0;15.769999999999996;1.0;1240.0;7151.8200000000015;6.78;2.31;
1.0;1.112;2400.758399999999;5200.0;0.0;2.68;1.112;0.0;9502.838399999993;0.0;0.0;2.5510800000000016;1.41;1.33;0.108;0.52;3.52;1.04;200.0;40.0;0.0;40.0;15.0;100.0;0.0;0.0;15.879999999999995;1.0;1240.0;7152.080000000002;6.78;2.64;
1.0;1.2510000000000001;2400.8531999999987;5200.0;0.0;3.015;1.2510000000000001;0.0;9503.193199999992;0.0;0.0;2.551215000000002;1.41;1.33;0.1215;0.52;3.52;1.17;200.0;40.0;0.0;40.0;15.0;100.0;0.0;0.0;15.989999999999995;1.0;1240.0;7152.340000000002;6.78;2.97;
1.0;1.3900000000000001;2400.9479999999985;5200.0;0.0;3.35;1.3900000000000001;0.0;9503.547999999992;0.0;0.0;2.551350000000002;1.41;1.33;0.135;0.52;3.52;1.2999999999999998;200.0;40.0;0.0;40.0;15.0;100.0;0.0;0.0;16.099999999999994;1.0;1240.0;7152.600000000002;6.78;3.3000000000000003;
1.0;1.5290000000000001;2401.0427999999984;5200.0;0.0;3.685;1.5290000000000001;0.0;9503.90279999999;0.0;0.0;2.5514850000000022;1.41;1.33;0.14850000000000002;0.52;3.52;1.4299999999999997;200.0;40.0;0.0;40.0;15.0;100.0;0.0;0.0;16.209999999999994;1.0;1240.0;7152.860000000002;6.78;3.6300000000000003;
1.0;1.6680000000000001;2401.137599999998;5200.0;0.0;4.0200000000000005;1.6680000000000001;0.0;9504.25759999999;0.0;0.0;2.5516200000000024;1.41;1.33;0.16200000000000003;0.52;3.52;1.5599999999999996;200.0;40.0;0.0;40.0;15.0;100.0;0.0;0.0;16.319999999999993;1.0;1240.0;7153.120000000003;6.78;3.9600000000000004;
1.0;1.8070000000000002;2401.232399999998;5200.0;0.0;4.355;1.8070000000000002;0.0;9504.612399999989;0.0;0.0;2.5517550000000027;1.41;1.33;0.17550000000000004;0.52;3.52;1.6899999999999995;200.0;40.0;0.0;40.0;15.0;100.0;0.0;0.0;16.429999999999993;1.0;1240.0;7153.380000000003;6.78;4.29;
1.0;1.9460000000000002;2401.327199999998;5200.0;0.0;4.69;1.9460000000000002;0.0;9504.967199999988;0.0;0.0;2.551890000000003;1.41;1.33;0.18900000000000006;0.52;3.52;1.8199999999999994;200.0;40.0;0.0;40.0;15.0;100.0;0.0;0.0;16.539999999999992;1.0;1240.0;7153.640000000003;6.78;4.62;
1.0;2.085;2401.4219999999978;5200.0;0.0;5.025;2.085;0.0;9505.321999999987;0.0;0.0;2.552025000000003;1.41;1.33;0.20250000000000007;0.52;3.52;1.9499999999999993;200.0;40.0;0.0;40.0;15.0;100.0;0.0;0.0;16.64999999999999;1.0;1240.0;7153.900000000003;6.78;4.95;
